0,0, Header,1,3,96,
1,0, Start_track,,,,
1,0, Time_signature,4,2,24,8
1,0, End_track,,,,
2,0, Start_track,,,,
2,0, Tempo,1111111,,,
2,0, Tempo,1153846,,,
2,0, Tempo,1153846,,,
2,864, Tempo,1176471,,,
2,1536, Tempo,1153846,,,
2,2304, Tempo,1176471,,,
2,3072, Tempo,1153846,,,
2,3839, Tempo,1176471,,,
2,4608, Tempo,1153846,,,
2,5280, Tempo,1132075,,,
2,5472, Tempo,1090909,,,
2,7488, Tempo,1111111,,,
2,7584, Tempo,1132075,,,
2,7680, Tempo,1153846,,,
2,8256, Tempo,1132075,,,
2,8544, Tempo,1111111,,,
2,10656, Tempo,1132075,,,
2,11520, Tempo,937500,,,
2,11904, Tempo,923077,,,
2,12288, Tempo,909091,,,
2,13056, Tempo,895522,,,
2,13872, Tempo,937500,,,
2,14112, Tempo,923077,,,
2,14208, Tempo,909091,,,
2,14400, Tempo,923077,,,
2,14592, Tempo,937500,,,
2,14976, Tempo,923077,,,
2,15360, Tempo,909091,,,
2,16128, Tempo,895522,,,
2,16944, Tempo,937500,,,
2,17184, Tempo,923077,,,
2,17280, Tempo,909091,,,
2,17472, Tempo,923077,,,
2,18432, Tempo,909091,,,
2,18815, Tempo,895522,,,
2,19536, Tempo,882353,,,
2,20352, Tempo,895522,,,
2,20544, Tempo,923077,,,
2,20640, Tempo,952381,,,
2,20736, Tempo,909091,,,
2,21503, Tempo,895522,,,
2,22272, Tempo,882353,,,
2,23039, Tempo,895522,,,
2,23184, Tempo,909091,,,
2,23376, Tempo,923077,,,
2,23616, Tempo,952381,,,
2,23808, Tempo,923077,,,
2,24576, Tempo,909091,,,
2,24959, Tempo,895522,,,
2,25680, Tempo,882353,,,
2,26496, Tempo,895522,,,
2,26688, Tempo,923077,,,
2,26784, Tempo,952381,,,
2,26880, Tempo,909091,,,
2,27647, Tempo,895522,,,
2,28416, Tempo,882353,,,
2,29183, Tempo,895522,,,
2,29328, Tempo,909091,,,
2,29520, Tempo,923077,,,
2,29568, Tempo,952381,,,
2,29760, Tempo,1016949,,,
2,29952, Tempo,1200000,,,
2,30720, Tempo,1176471,,,
2,32255, Tempo,1153846,,,
2,35232, Tempo,1176471,,,
2,35424, Tempo,1111111,,,
2,35592, Tempo,1090909,,,
2,35712, Tempo,1071429,,,
2,36360, Tempo,1052632,,,
2,37056, Tempo,1071429,,,
2,37397, Tempo,1090909,,,
2,37536, Tempo,1111111,,,
2,37632, Tempo,1132075,,,
2,38496, Tempo,1111111,,,
2,38880, Tempo,1090909,,,
2,39144, Tempo,1071429,,,
2,39264, Tempo,1052632,,,
2,39456, Tempo,1034483,,,
2,39744, Tempo,1052632,,,
2,39936, Tempo,1071429,,,
2,40128, Tempo,1090909,,,
2,40320, Tempo,1111111,,,
2,40512, Tempo,1132075,,,
2,40608, Tempo,1176471,,,
2,40704, Tempo,1200000,,,
2,40896, Tempo,1224490,,,
2,41064, Tempo,1250000,,,
2,41088, Tempo,1304348,,,
2,41184, Tempo,1463415,,,
2,41184, End_track,,,,
3,0, Start_track,,,,
3,0, Title_t," ""Piano""",,,
3,0, Control_c,0,10,63,
3,0, Control_c,0,7,105,
3,0, Pitch_bend_c,0,8192,,
3,0, Control_c,0,101,0,
3,0, Control_c,0,100,0,
3,0, Control_c,0,6,12,
3,0, Control_c,0,10,63,
3,0, Control_c,0,7,105,
3,0, Pitch_bend_c,0,8192,,
3,0, Program_c,0,0,,
3,0, Control_c,0,64,0,
3,0, Control_c,0,101,0,
3,0, Control_c,0,100,0,
3,0, Control_c,0,6,12,
3,0, Control_c,0,10,63,
3,0, Control_c,0,7,105,
3,0, Pitch_bend_c,0,8192,,
3,0, Program_c,0,0,,
3,0, Control_c,0,64,0,
3,0, Program_c,0,0,,
3,0, Control_c,0,64,0,
3,0, Control_c,0,10,63,
3,0, Control_c,0,7,105,
3,0, Control_c,0,101,0,
3,0, Control_c,0,100,0,
3,0, Control_c,0,6,12,
3,0, Control_c,0,10,63,
3,0, Control_c,0,7,105,
3,0, Pitch_bend_c,0,8192,,
3,0, Program_c,0,0,,
3,0, Control_c,0,64,0,
3,0, Program_c,0,0,,
3,0, Control_c,0,64,0,
3,0, Control_c,0,10,63,
3,0, Control_c,0,7,105,
3,0, Note_on_c,0,46.0,39,
3,0, Note_on_c,0,34.0,40,
3,0, Note_on_c,0,37.0,39,
3,0, Note_on_c,0,41.0,38,
